img,c0-safe,c1-text-right,c2-talking-phone-right,c3-text-left,c4-talking-phone-left,c5-radio-operating,c6-drinking,c7-reching-behind,c8-hair-makeup,c9-talking-passenger
img_359.jpg,0.0076033985,0.00010659287,0.038738355,0.19260095,0.061939616,0.004860971,0.08840278,2.533407e-12,1.7883722e-05,0.60572946
img_370.jpg,0.00029448143,1.207562e-06,0.01146391,1.0164657e-06,9.256218e-09,1.5122665e-06,8.77399e-07,4.995744e-06,0.9784016,0.009830471
img_358.jpg,0.0747977,0.00042930708,4.666138e-09,8.5302945e-06,1.2241185e-07,8.678238e-10,3.939261e-10,5.3212948e-11,0.92475337,1.08887925e-05
img_349.jpg,0.0014601754,1.2225686e-06,1.159237e-06,0.12021996,0.015450266,0.00068026833,7.0765486e-07,0.16493918,0.6972441,2.9566036e-06
img_364.jpg,4.747919e-05,8.356541e-05,2.2217835e-06,0.94557923,0.025802705,2.3772645e-10,3.6615253e-05,3.8301214e-06,0.027428305,0.0010159245
img_362.jpg,1.497237e-08,7.452503e-20,2.9093334e-16,1.5992086e-08,1.0669795e-13,1.0,3.6036254e-15,6.5821453e-16,1.0282569e-10,2.5136639e-15
img_378.jpg,0.9716855,1.6497507e-06,1.4171868e-05,0.012244415,0.002349401,5.853676e-05,3.7024972e-07,7.982544e-07,8.378636e-06,0.013636723
img_376.jpg,0.0020053638,2.3177973e-08,0.075531416,0.2098129,1.1122841e-05,0.70920324,9.837465e-06,3.1118277e-10,0.00035126676,0.003074752
img_368.jpg,5.8830425e-09,6.074528e-05,0.004515967,1.1940341e-06,1.7362076e-08,9.729833e-12,7.0334936e-06,0.995413,1.8502029e-06,2.7315127e-07
img_361.jpg,1.8442683e-05,4.3606327e-05,0.22888333,3.420101e-06,0.28918558,1.3603806e-06,0.020908931,0.032481387,0.4284202,5.378094e-05
img_373.jpg,2.9046498e-05,2.9357707e-07,1.247462e-09,0.028197262,0.96652746,8.096996e-06,2.1842109e-07,3.4294368e-07,0.0001650676,0.0050721806
img_352.jpg,7.1953374e-11,5.312511e-13,2.1738289e-07,3.509427e-13,3.31104e-15,4.82486e-13,2.322534e-09,0.9999777,2.2040078e-05,4.2320735e-08
img_365.jpg,0.06073477,3.2486707e-07,0.0021284225,0.003939096,0.0017741355,0.007583312,0.0033891904,0.2637635,0.62148297,0.03520427
img_355.jpg,0.15060121,0.008312449,0.00087872305,0.25048372,0.5470567,0.025591647,0.014574563,0.00012058137,3.947334e-05,0.002341059
img_385.jpg,0.0017953477,0.6988472,0.08462211,9.932785e-06,1.4177873e-07,0.00011815972,0.012568744,5.110894e-13,0.013256212,0.18878224
img_374.jpg,0.016843464,0.0013844955,2.015877e-08,0.95926607,6.580156e-05,0.0017333169,6.258401e-07,1.5762127e-09,0.001324971,0.019381383
img_371.jpg,1.8098627e-06,2.4642281e-07,0.9996339,3.6037505e-07,4.1197998e-10,0.00020884725,5.1629045e-06,6.315605e-11,0.00014772023,1.9890197e-06
img_348.jpg,0.010665095,0.030182417,0.1432559,0.19420083,0.016321994,0.00018693974,0.5653963,0.0010380942,0.038651053,0.00010134314
img_386.jpg,9.547797e-05,0.00040225952,0.0017216637,2.3044275e-05,0.9528751,0.000165971,0.0007554518,1.2592752e-09,0.043741927,0.00021909886
img_353.jpg,5.845841e-05,9.795651e-06,0.0007508932,0.58334666,0.00473032,6.7429995e-09,1.5790627e-05,4.8151662e-08,4.4754935e-07,0.41108748
img_351.jpg,0.13969679,0.00029718864,1.8760807e-07,0.79903233,0.0031827197,0.0011441183,0.002219389,1.1468913e-06,0.05436487,6.129654e-05
img_366.jpg,0.008007505,5.105555e-10,1.7038602e-13,4.0699796e-08,0.9919922,3.5647602e-07,6.8502896e-15,4.896013e-17,2.6557864e-12,9.709064e-10
img_384.jpg,1.741618e-05,0.0038820065,0.000732754,0.55004275,5.9614504e-05,2.68648e-07,7.62075e-10,1.0473317e-07,0.00095385575,0.44431132
img_367.jpg,1.598552e-09,0.00037768256,0.025809046,1.5424297e-08,2.0705815e-10,9.695675e-09,0.00029301955,0.9734851,3.4914054e-05,8.406002e-08
img_356.jpg,1.4671263e-05,0.0013352543,0.044845395,1.4037583e-07,5.070253e-06,2.7857586e-08,0.002218119,0.9242455,0.022799479,0.004536447
img_354.jpg,8.845101e-06,0.91029155,0.011553336,6.182627e-07,0.00017669075,2.2127667e-06,0.077954344,4.749233e-08,7.843023e-06,4.420263e-06
img_377.jpg,0.0003885228,4.0192417e-06,0.0010572753,0.30202532,0.673414,0.018375374,0.0005551253,1.0439516e-07,0.0041803294,2.5152272e-12
img_350.jpg,2.689097e-09,3.0025901e-12,6.9772306e-14,9.202487e-13,1.1096593e-12,2.3388402e-11,8.430403e-09,0.9999484,4.258856e-05,9.026489e-06
img_347.jpg,0.00028328266,3.2734576e-07,0.0003733011,0.6906759,0.2896085,0.018538365,1.5666966e-07,9.688796e-10,1.932134e-07,0.00051995646
img_369.jpg,0.0020317037,0.14031082,8.602833e-06,0.51941234,0.21770932,6.71586e-06,0.089151606,0.00012654508,5.5899276e-05,0.031186473
img_363.jpg,0.0099600395,0.21703595,1.39746435e-05,5.0097846e-05,0.2018619,8.8560563e-07,0.061376814,0.0018590271,0.13592544,0.3719159
img_360.jpg,0.0009411728,0.4682045,6.9328564e-07,0.4735212,0.005682758,0.0003570545,1.9469739e-05,0.04731039,0.00363241,0.00033031215
